gene	rho	pval	group
0610010F05Rik	0.542857142857143	0.297222222222222	none
0610010K14Rik	-0.257142857142857	0.658333333333333	none
0610012G03Rik	-0.50709255283711	0.304558784680535	none
0610030E20Rik	0.542857142857143	0.297222222222222	none
0610040J01Rik	0.142857142857143	0.802777777777778	none
1110002E22Rik	0.142857142857143	0.802777777777778	none
1110004F10Rik	0.542857142857143	0.297222222222222	none
1110008P14Rik	-0.318874069608847	0.537900560470205	none
1110012L19Rik	0.394664881467296	0.438739251517016	none
1110017D15Rik	0.657142857142857	0.175	none
1110032A03Rik	0.492805380304581	0.320632582865828	none
1110032F04Rik	-0.212511859251621	0.686030866008896	none
1110038F14Rik	-0.654653670707977	0.158302423375458	none
1110051M20Rik	0.257142857142857	0.658333333333333	none
1110059E24Rik	-0.0857142857142857	0.919444444444444	none
1110059G10Rik	-0.304255531702266	0.55769938705682	none
1110065P20Rik	-0.0289885517826224	0.95652935238984	none
1190005I06Rik	0.0285714285714286	1	none
1190007I07Rik	0.0579771035652448	0.913131785162327	none
1300017J02Rik	0.771428571428571	0.102777777777778	none
1500009C09Rik	0.371428571428571	0.497222222222222	none
1500009L16Rik	0.142857142857143	0.802777777777778	none
1500011B03Rik	-0.0285714285714286	1	none
1520401A03Rik	0.257142857142857	0.658333333333333	none
1600012H06Rik	0.405839724956714	0.424662507561365	none
1600014C10Rik	0.485714285714286	0.355555555555556	none
1600014C23Rik	NA	NA	none
1700001C19Rik	0.885714285714286	0.0333333333333333	pos
1700001J03Rik	0.202919862478357	0.699797968157019	none
1700001K19Rik	0.371428571428571	0.497222222222222	none
1700001L19Rik	-0.0285714285714286	1	none
1700001O22Rik	-0.0857142857142857	0.919444444444444	none
1700001P01Rik	0.405839724956714	0.424662507561365	none
1700003E16Rik	0.135224680756563	0.798399318803501	none
1700003F12Rik	-0.273229533323512	0.600354590429112	none
1700003H04Rik	-0.135224680756563	0.798399318803502	none
1700006A11Rik	0.434828276739336	0.388865300128958	none
1700007K13Rik	0.811679449913428	0.0498575851013404	pos
1700008O03Rik	0.142857142857143	0.802777777777778	none
1700009N14Rik	0.654653670707977	0.158302423375458	none
1700010B08Rik	-0.338061701891407	0.512225258699542	none
1700010I14Rik	0.0857142857142857	0.919444444444444	none
1700011L22Rik	0.257142857142857	0.658333333333333	none
1700011M02Rik	0.371867872080547	0.467910199034463	none
1700012A03Rik	-0.11595420713049	0.826848213385815	none
1700012B07Rik	0.6	0.241666666666667	none
1700012B09Rik	0.6	0.241666666666667	none
1700012P22Rik	-0.257142857142857	0.658333333333333	none
1700013F07Rik	0.516100229611079	0.294583741462461	none
1700013G24Rik	0.828571428571429	0.0583333333333333	none
1700013H16Rik	0.371428571428571	0.497222222222222	none
1700014D04Rik	0.6	0.241666666666667	none
1700015F17Rik	0.6	0.241666666666667	none
1700015G11Rik	-0.654653670707977	0.158302423375458	none
1700016C15Rik	0.142857142857143	0.802777777777778	none
1700016D06Rik	0.771428571428571	0.102777777777778	none
1700016H13Rik	-0.0857142857142857	0.919444444444444	none
1700016K19Rik	0.777541914350235	0.0687269414410897	none
1700017B05Rik	-0.542857142857143	0.297222222222222	none
1700017N19Rik	0.771428571428571	0.102777777777778	none
1700018B08Rik	0.0857142857142857	0.919444444444444	none
1700018F24Rik	0.392792202424786	0.441112809121304	none
1700018G05Rik	-0.654653670707977	0.158302423375458	none
1700019A02Rik	-0.142857142857143	0.802777777777778	none
1700019D03Rik	0.0857142857142857	0.919444444444444	none
1700019N19Rik	-0.212511859251621	0.686030866008896	none
1700020A23Rik	0.664211164155072	0.150200422331011	none
1700020D05Rik	-0.169030850945703	0.748868450023527	none
1700020L24Rik	-0.130930734141595	0.804726162223106	none
1700020N01Rik	0.771428571428571	0.102777777777778	none
1700021F07Rik	-0.202919862478357	0.699797968157019	none
1700022I11Rik	-0.257142857142857	0.658333333333333	none
1700024G13Rik	0.273229533323512	0.600354590429111	none
1700025B11Rik	-0.392792202424786	0.441112809121304	none
1700025C18Rik	0.257142857142857	0.658333333333333	none
1700025G04Rik	0.542857142857143	0.297222222222222	none
1700028J19Rik	-0.0857142857142857	0.919444444444444	none
1700028K03Rik	0.0857142857142857	0.919444444444444	none
1700028P14Rik	0.485714285714286	0.355555555555556	none
1700029F12Rik	-0.314285714285714	0.563888888888889	none
1700029H14Rik	0.637748139217693	0.17307111024126	none
1700029I15Rik	0.260896966043602	0.617533817425997	none
1700029J07Rik	0.142857142857143	0.802777777777778	none
1700029P11Rik	NA	NA	none
1700030J22Rik	-0.885714285714286	0.0333333333333333	neg
1700030K09Rik	0.371428571428571	0.497222222222222	none
1700031F05Rik	0.270449361513125	0.604216677237078	none
1700031L13Rik	-0.531368931324057	0.277963393318487	none
1700034E13Rik	0.0857142857142857	0.919444444444444	none
1700034J05Rik	0.338061701891407	0.512225258699542	none
1700037C18Rik	0.257142857142857	0.658333333333333	none
1700037H04Rik	0.6	0.241666666666667	none
1700042G07Rik	-0.270449361513125	0.604216677237077	none
1700056E22Rik	0.637535577754862	0.173260315298534	none
1700057G04Rik	0.753702346348183	0.0835232813732598	none
1700064H15Rik	0.314285714285714	0.563888888888889	none
1700066B19Rik	0.485714285714286	0.355555555555556	none
1700066M21Rik	0.463816828521959	0.354164298436231	none
1700067K01Rik	-0.202919862478357	0.699797968157019	none
1700067P10Rik	-0.135224680756563	0.798399318803502	none
1700069L16Rik	0.371428571428571	0.497222222222222	none
1700074P13Rik	-0.0303588370359458	0.954475734693563	none
1700080O16Rik	-0.270449361513125	0.604216677237077	none
1700084M14Rik	-0.654653670707977	0.158302423375458	none
1700086D15Rik	0.698253251826754	0.122839463373396	none
1700088E04Rik	0.6	0.241666666666667	none
1700092M07Rik	NA	NA	none
1700093K21Rik	0.985610760609162	0.000309085667849671	pos
1700094D03Rik	0.57681790368297	0.2307322519546	none
1700102P08Rik	-0.0285714285714286	1	none
1700109H08Rik	0.428571428571429	0.419444444444444	none
1700113H08Rik	0.6	0.241666666666667	none
1700122O11Rik	-0.130930734141595	0.804726162223106	none
1700123K08Rik	-0.0338061701891407	0.949310062527826	none
1700123L14Rik	NA	NA	none
1700123O20Rik	0.0676123403782813	0.898736031924871	none
1700125H20Rik	0.434828276739336	0.388865300128958	none
1700129C05Rik	-0.212511859251621	0.686030866008896	none
1810009A15Rik	0.130930734141595	0.804726162223106	none
1810010H24Rik	-0.392792202424786	0.441112809121304	none
1810013L24Rik	0.2	0.713888888888889	none
1810020O05Rik	0.6	0.241666666666667	none
1810024B03Rik	-0.0857142857142857	0.919444444444444	none
1810030O07Rik	-0.405839724956714	0.424662507561365	none
1810037I17Rik	-0.811679449913428	0.0498575851013405	neg
1810046K07Rik	0.231908414260979	0.658373571260927	none
1810049J17Rik	-0.94112394811432	0.00509754056486142	neg
1810055G02Rik	-0.0857142857142857	0.919444444444444	none
1810058I24Rik	-0.257142857142857	0.658333333333333	none
1810062G17Rik	-0.463816828521959	0.35416429843623	none
1810065E05Rik	-0.289885517826224	0.577351787034874	none
2010003K11Rik	0.654653670707977	0.158302423375458	none
2010106E10Rik	-0.2	0.713888888888889	none
2010109A12Rik	-0.333947207395404	0.51770020830544	none
2010300C02Rik	0.771428571428571	0.102777777777778	none
2200002D01Rik	-0.0303588370359458	0.954475734693563	none
2200002J24Rik	0.676123403782813	0.140357386618995	none
2210010C04Rik	-0.392792202424786	0.441112809121304	none
2210016F16Rik	-0.257142857142857	0.658333333333333	none
2210016L21Rik	0.0285714285714286	1	none
2210017I01Rik	-0.130930734141595	0.804726162223106	none
2210407C18Rik	-0.212511859251621	0.686030866008896	none
2210408I21Rik	0.657142857142857	0.175	none
2300002M23Rik	0.0338061701891407	0.949310062527826	none
2300003K06Rik	-0.654653670707977	0.158302423375458	none
2300009A05Rik	-0.273229533323512	0.600354590429112	none
2310002L09Rik	0.0676123403782813	0.898736031924871	none
2310003L06Rik	0.540898723026251	0.26777767151475	none
2310009B15Rik	-0.439480212458829	0.383220913257781	none
2310011J03Rik	0.516100229611079	0.294583741462461	none
2310022A10Rik	0.485714285714286	0.355555555555556	none
2310022B05Rik	0.314285714285714	0.563888888888889	none
2310030G06Rik	0.724713794565561	0.103242804623708	none
2310033P09Rik	-0.819688599970537	0.0458371412324533	neg
2310034C09Rik	0.130930734141595	0.804726162223106	none
2310034G01Rik	-0.394664881467296	0.438739251517016	none
2310039H08Rik	-0.777541914350235	0.0687269414410896	none
2310046K23Rik	-0.654653670707977	0.158302423375458	none
2310050C09Rik	0.270449361513125	0.604216677237078	none
2310057J18Rik	-0.845154254728517	0.0341094231674097	neg
2310057M21Rik	0.142857142857143	0.802777777777778	none
2310057N15Rik	-0.130930734141595	0.804726162223106	none
2310061I04Rik	-0.0285714285714286	1	none
2310061N02Rik	NA	NA	none
2310079G19Rik	NA	NA	none
2410002F23Rik	-0.6	0.241666666666667	none
2410004B18Rik	0.0338061701891407	0.949310062527826	none
2410004P03Rik	0.637535577754862	0.173260315298534	none
2410131K14Rik	-0.347862621391469	0.499253218114633	none
2410137M14Rik	-0.492805380304581	0.320632582865828	none
2410141K09Rik	0.371428571428571	0.497222222222222	none
