gene	Two-cell	Four-cell	Eight-cell	Blast	Morula	Oocyte	Sperm	Zygote
0610010F05Rik	0.01339219076	0.01800486496	0.006934969986	0.001712464755	0.003296703297	0.00618429128	0	0.008955223881
0610010K14Rik	0.01164596273	0.001712328767	0.001798561151	0.0007763975155	0.002754818182	0.003289473684	0	0
0610012G03Rik	0.006150792857	0	0	0	0	0	0.01470588235	0.01
0610030E20Rik	0.009503761692	0.01818181818	0.0005524861878	0.003118906433	0	0.002109702532	0	0.01704545455
0610040J01Rik	0.0160540024	0.01517619498	0.01076977331	0.003331183301	0.001944894652	0.004546878645	0.002173913043	0.01074126487
1110002E22Rik	0.009220819639	0.00782997651	0.003044139269	0.0004376367615	0	0.003385517808	0.005434782609	0.004237288136
1110004F10Rik	0.01707217114	0.01095993878	0.005952379404	0.004892348328	0.00303030303	0.006066409962	0.012	0.01779026124
1110008P14Rik	0.01401887931	0.003584225806	0	0.008893981651	0.02586206897	0.01348314607	0	0
1110012L19Rik	0.01458333333	0	0.01475409836	0	0	0	0	0.03571428571
1110017D15Rik	0.007062875969	0.00864779717	0.001035782486	0.002732243169	0.003184713376	0	0.007142857143	0.01570680628
1110032A03Rik	0.01150269589	0.009132420091	0.006263614379	0	0	0.00641025641	0	0.01209677419
1110032F04Rik	0.001811597826	0	0.006020277567	0.0008928571429	0	0.002092050209	0	0
1110038F14Rik	0.003377234043	0	0	0	0	0	0	0
1110051M20Rik	0.02478472532	0.01265558655	0.003981389328	0.003343647214	0.008269699332	0.01074036003	0.004451038576	0.007334581461
1110059E24Rik	0.01871886444	0.007166947723	0.004764362229	0.008049289474	0.007263922518	0.01117451213	0.009463722397	0.02111872089
1110059G10Rik	0.000900090099	0	0.001315789474	0	0	0	0	0
1110065P20Rik	0.002498530864	0	0.001785714286	0.0002411382445	0.002322881533	0.001901140684	0	0
1190005I06Rik	0.014058517	0.008572615855	0.003188520311	0.008114228065	0.00393081761	0.004097372017	0.007766990291	0.01025441277
1190007I07Rik	0.02780172414	0.01010101515	0.00495049505	0.00641025641	0	0	0	0
1300017J02Rik	0.01181475162	0.01497544845	0.005673464462	0.0035409383	0.003937007874	0.006441397306	0	0.02481389578
1500009C09Rik	0.01380820456	0.001773047872	0	0.00560659751	0.007194244604	0.001559716578	0	0.01816239103
1500009L16Rik	0.01008677552	0.01165871701	0.001258924464	0.004135856832	0.003393665158	0.002130681818	0	0.01111111111
1500011B03Rik	0.008480640278	0.001416430595	0.004137115839	0.006558484787	0.01136363636	0.003527335979	0	0.006465517241
1520401A03Rik	0.02917911297	0.01636904762	0.007121209091	0.004489508475	0.01282051282	0	0.01136363636	0.01075268817
1600012H06Rik	0.01687574462	0.005291005291	0.009469694805	0	0	0.003703703704	0	0.02694610778
1600014C10Rik	0.006535549878	0.002997600719	0.001888572238	0.001960785166	0	0.007407406349	0	0.009602193416
1600014C23Rik	0	0	0	0	0	0.01388888889	0	0
